tier	encoding	todo_line	id	section	primary_domain	all_domains	body_chars	title
A	cb	280		✅ Second, unrelated Coverage Floor failure — FIXED in this PR	(unresolved)	(unresolved)	252	`syscall.Kill(os.Getpid(), syscall.SIGTERM)` signals the **entire test binary**, not a
A	cb	283		✅ Second, unrelated Coverage Floor failure — FIXED in this PR	(unresolved)	(unresolved)	166	The unconditional `time.Sleep(6 * time.Second)` before the signal is pure wall-clock
A	cb	476		ABS surface — what is still missing after the series/playlist fix	(unresolved)	(unresolved)	571	**Series DETAIL is still not served.** `/api/series/:id` 301s into the app API, the
A	cb	697		Follow-up on the op itself	(unresolved)	(unresolved)	217	`registry.RunItems` label re-render (fixed 2026-08-13) changed shared
A	cb	928		ghcommon reusable-workflow pins are a month apart — decide, don't drif	(unresolved)	(unresolved)	187	Not done unattended on purpose: this was left for a human on 2026-08-18
A	cb	3718		"C716 resolved: the ""3,954-book API-vs-store gap"" decomposes to 3,953 i"	(unresolved)	(unresolved)	670	**`show_quarantined=true` SHRINKS the list.** A flag that can only
A	cb	3729		"C716 resolved: the ""3,954-book API-vs-store gap"" decomposes to 3,953 i"	(unresolved)	(unresolved)	262	`is_primary_version=false` answers 22,552 — exactly the known
A	cb	4064		✅ Root cause (2026-08-14, fixed in `fix/author-getter-conformance`)	(unresolved)	(unresolved)	463	**After this deploys**, drop `skip_author_ids: [46627]` from the repair
A	cb	4081		✅ Root cause (2026-08-14, fixed in `fix/author-getter-conformance`)	(unresolved)	(unresolved)	1267	**CORRECTION to `20260814-matcher-writeback-background-job.md`: the
A	cb	4470		Search placeholder hint missing when navigating to All Books from Fini	(unresolved)	(unresolved)	491	**Backfill legacy operation rows stuck at `pending`.** #2483 fixed the forward path
A	cb	6394		Missing-file lane — follow-ups after the report-only change (#2614)	(unresolved)	(unresolved)	1675	**`scan-import-organize.spec.ts` (7 failures) — Settings tab deep-link
A	cb	8220		Missing-file lane — follow-ups after the report-only change (#2614)	(unresolved)	(unresolved)	930	**`UpsertBookToMemDB` holds go-memdb's global writer mutex across Pebble
A	cb	10074	TODO-DEPS-VULN	Decision needed	(unresolved)	(unresolved)	123	**TODO-DEPS-VULN** GitHub reports 5 Dependabot vulnerabilities on the
A	cb	10077	TODO-SEC-BIND	Decision needed	(unresolved)	(unresolved)	645	**TODO-SEC-BIND** The service binds every interface
